shortOperatorName,lineName,hafasOperatorCode,hafasLineId,backgroundColor,textColor,rounded
gaby,RB86,go-ahead-bayern-gmbh,rb-86,#77aed2,#ffffff,false
gaby,RB87,go-ahead-bayern-gmbh,rb-87,#77aed2,#ffffff,false
gaby,RB89,go-ahead-bayern-gmbh,rb-89,#006da7,#ffffff,false
gaby,RB92,go-ahead-bayern-gmbh,rb-92,#f28f8e,#ffffff,false
gaby,RE72,go-ahead-bayern-gmbh,re-72,#ef7c00,#ffffff,false
gaby,RE80,go-ahead-bayern-gmbh,re-80,#006da7,#ffffff,false
gaby,RE89,go-ahead-bayern-gmbh,re-89,#006da7,#ffffff,false
gaby,RE9,go-ahead-bayern-gmbh,re-9,#006da7,#ffffff,false
gaby,RE96,go-ahead-bayern-gmbh,re-96,#f9b000,#ffffff,false
mvv-db-sbm,S1,db-regio-ag-s-bahn-munchen,4-800725-1,#1fbce6,#ffffff,true
mvv-db-sbm,S2,db-regio-ag-s-bahn-munchen,4-800725-2,#79b833,#ffffff,true
mvv-db-sbm,S20,db-regio-ag-s-bahn-munchen,4-800725-20,#f05972,#ffffff,true
mvv-db-sbm,S3,db-regio-ag-s-bahn-munchen,4-800725-3,#962a85,#ffffff,true
mvv-db-sbm,S4,db-regio-ag-s-bahn-munchen,4-800725-4,#e41f28,#ffffff,true
mvv-db-sbm,S6,db-regio-ag-s-bahn-munchen,4-800725-6,#008f5c,#ffffff,true
mvv-db-sbm,S7,db-regio-ag-s-bahn-munchen,4-800725-7,#8a372f,#ffffff,true
mvv-db-sbm,S8,db-regio-ag-s-bahn-munchen,4-800725-8,#2d2b29,#ffcd01,true
vbb-db-sbahn,S1,s-bahn-berlin,4-08-1,#eb588f,#ffffff,true
vbb-db-sbahn,S2,s-bahn-berlin,4-08-2,#047939,#ffffff,true
vbb-db-sbahn,S25,s-bahn-berlin,4-08-25,#047939,#ffffff,true
vbb-db-sbahn,S26,s-bahn-berlin,4-08-26,#047939,#ffffff,true
vbb-db-sbahn,S3,s-bahn-berlin,4-08-3,#026597,#ffffff,true
vbb-db-sbahn,S41,s-bahn-berlin,4-08-41,#aa3c1f,#ffffff,true
vbb-db-sbahn,S42,s-bahn-berlin,4-08-42,#ba622d,#ffffff,true
vbb-db-sbahn,S45,s-bahn-berlin,4-08-45,#aa3c1f,#ffffff,true
vbb-db-sbahn,S46,s-bahn-berlin,4-08-46,#ca8539,#ffffff,true
vbb-db-sbahn,S47,s-bahn-berlin,4-08-47,#ca8539,#ffffff,true
vbb-db-sbahn,S5,s-bahn-berlin,4-08-5,#ea561c,#ffffff,true
vbb-db-sbahn,S7,s-bahn-berlin,4-08-7,#764d9a,#ffffff,true
vbb-db-sbahn,S75,s-bahn-berlin,4-08-75,#764d9a,#ffffff,true
vbb-db-sbahn,S8,s-bahn-berlin,4-08-8,#4fa433,#ffffff,true
vbb-db-sbahn,S85,s-bahn-berlin,4-08-85,#4fa433,#ffffff,true
vbb-db-sbahn,S9,s-bahn-berlin,4-08-9,#951732,#ffffff,true
vrs-stadtbahn,1,,8-vrs001-1,#e1081c,#ffffff,false
vrs-stadtbahn,3,,8-vrs001-3,#f29ec2,#ffffff,false
vrs-stadtbahn,4,,8-vrs001-4,#eb72a5,#ffffff,false
vrs-stadtbahn,5,,8-vrs001-5,#a69dc8,#ffffff,false
vrs-stadtbahn,7,,8-vrs001-7,#f08d52,#ffffff,false
vrs-stadtbahn,9,,8-vrs001-9,#f09086,#ffffff,false
vrs-stadtbahn,12,,8-vrs001-12,#98c01e,#ffffff,false
vrs-stadtbahn,13,,8-vrs001-13,#aa8567,#ffffff,false
vrs-stadtbahn,15,,8-vrs001-15,#5aad31,#ffffff,false
vrs-stadtbahn,16,,8-vrs001-16,#07ada5,#ffffff,false
vrs-stadtbahn,17,,8-vrs001-17,#1e93d1,#ffffff,false
vrs-stadtbahn,18,,8-vrs001-18,#85d1f5,#ffffff,false
vrs-stadtbahn,61,stadtwerke-bonn,8-s3-61,#9ab831,#ffffff,false
vrs-stadtbahn,62,stadtwerke-bonn,8-s3-62,#65a53b,#ffffff,false
vrs-stadtbahn,63,stadtwerke-bonn,8-s3-63,#8bccf3,#ffffff,false
vrs-stadtbahn,65,stadtwerke-bonn,8-s3-65,#c6cc2a,#ffffff,false
vrs-stadtbahn,66,stadtwerke-bonn,8-s3-66,#d4417d,#ffffff,false
vrs-stadtbahn,67,stadtwerke-bonn,8-s3-67,#e7a8c4,#ffffff,false
vrs-stadtbahn,68,stadtwerke-bonn,8-s3-68,#cbaece,#ffffff,false
vvs-db-sbs,S1,db-regio-ag-s-bahn-stuttgart,4-800643-1,#59af41,#ffffff,false
vvs-db-sbs,S11,db-regio-ag-s-bahn-stuttgart,4-800643-11,#59af41,#ffffff,false
vvs-db-sbs,S2,db-regio-ag-s-bahn-stuttgart,4-800643-2,#ee1c28,#ffffff,false
vvs-db-sbs,S3,db-regio-ag-s-bahn-stuttgart,4-800643-3,#f36e31,#ffffff,false
vvs-db-sbs,S4,db-regio-ag-s-bahn-stuttgart,4-800643-4,#0166b3,#ffffff,false
vvs-db-sbs,S5,db-regio-ag-s-bahn-stuttgart,4-800643-5,#00acdd,#ffffff,false
vvs-db-sbs,S6,db-regio-ag-s-bahn-stuttgart,4-800643-6,#844c00,#ffffff,false
vvs-db-sbs,S60,db-regio-ag-s-bahn-stuttgart,4-800643-60,#8a8d06,#ffffff,false
vvs-db-sbs,S62,db-regio-ag-s-bahn-stuttgart,4-800643-62,#c3792e,#ffffff,false
