shortOperatorName,lineName,hafasOperatorCode,hafasLineId,backgroundColor,textColor,rounded
gaby,RB86,go-ahead-bayern-gmbh,rb-86,#77aed2,#ffffff,false
gaby,RB87,go-ahead-bayern-gmbh,rb-87,#77aed2,#ffffff,false
gaby,RB89,go-ahead-bayern-gmbh,rb-89,#006da7,#ffffff,false
gaby,RB92,go-ahead-bayern-gmbh,rb-92,#f28f8e,#ffffff,false
gaby,RE72,go-ahead-bayern-gmbh,re-72,#ef7c00,#ffffff,false
gaby,RE80,go-ahead-bayern-gmbh,re-80,#006da7,#ffffff,false
gaby,RE89,go-ahead-bayern-gmbh,re-89,#006da7,#ffffff,false
gaby,RE9,go-ahead-bayern-gmbh,re-9,#006da7,#ffffff,false
gaby,RE96,go-ahead-bayern-gmbh,re-96,#f9b000,#ffffff,false
mvv-db-sbm,S1,db-regio-ag-s-bahn-munchen,4-800725-1,#1fbce6,#ffffff,true
mvv-db-sbm,S2,db-regio-ag-s-bahn-munchen,4-800725-2,#79b833,#ffffff,true
mvv-db-sbm,S20,db-regio-ag-s-bahn-munchen,4-800725-20,#f05972,#ffffff,true
mvv-db-sbm,S3,db-regio-ag-s-bahn-munchen,4-800725-3,#962a85,#ffffff,true
mvv-db-sbm,S4,db-regio-ag-s-bahn-munchen,4-800725-4,#e41f28,#ffffff,true
mvv-db-sbm,S6,db-regio-ag-s-bahn-munchen,4-800725-6,#008f5c,#ffffff,true
mvv-db-sbm,S7,db-regio-ag-s-bahn-munchen,4-800725-7,#8a372f,#ffffff,true
mvv-db-sbm,S8,db-regio-ag-s-bahn-munchen,4-800725-8,#2d2b29,#ffcd01,true
vbb-db-sbahn,S1,s-bahn-berlin,4-08-1,#eb588f,#ffffff,true
vbb-db-sbahn,S2,s-bahn-berlin,4-08-2,#047939,#ffffff,true
vbb-db-sbahn,S25,s-bahn-berlin,4-08-25,#047939,#ffffff,true
vbb-db-sbahn,S26,s-bahn-berlin,4-08-26,#047939,#ffffff,true
vbb-db-sbahn,S3,s-bahn-berlin,4-08-3,#026597,#ffffff,true
vbb-db-sbahn,S41,s-bahn-berlin,4-08-41,#aa3c1f,#ffffff,true
vbb-db-sbahn,S42,s-bahn-berlin,4-08-42,#ba622d,#ffffff,true
vbb-db-sbahn,S45,s-bahn-berlin,4-08-45,#aa3c1f,#ffffff,true
vbb-db-sbahn,S46,s-bahn-berlin,4-08-46,#ca8539,#ffffff,true
vbb-db-sbahn,S47,s-bahn-berlin,4-08-47,#ca8539,#ffffff,true
vbb-db-sbahn,S5,s-bahn-berlin,4-08-5,#ea561c,#ffffff,true
vbb-db-sbahn,S7,s-bahn-berlin,4-08-7,#764d9a,#ffffff,true
vbb-db-sbahn,S75,s-bahn-berlin,4-08-75,#764d9a,#ffffff,true
vbb-db-sbahn,S8,s-bahn-berlin,4-08-8,#4fa433,#ffffff,true
vbb-db-sbahn,S85,s-bahn-berlin,4-08-85,#4fa433,#ffffff,true
vbb-db-sbahn,S9,s-bahn-berlin,4-08-9,#951732,#ffffff,true
vvs-db-sbs,S1,db-regio-ag-s-bahn-stuttgart,4-800643-1,#59af41,#ffffff,false
vvs-db-sbs,S11,db-regio-ag-s-bahn-stuttgart,4-800643-11,#59af41,#ffffff,false
vvs-db-sbs,S2,db-regio-ag-s-bahn-stuttgart,4-800643-2,#ee1c28,#ffffff,false
vvs-db-sbs,S3,db-regio-ag-s-bahn-stuttgart,4-800643-3,#f36e31,#ffffff,false
vvs-db-sbs,S4,db-regio-ag-s-bahn-stuttgart,4-800643-4,#0166b3,#ffffff,false
vvs-db-sbs,S5,db-regio-ag-s-bahn-stuttgart,4-800643-5,#00acdd,#ffffff,false
vvs-db-sbs,S6,db-regio-ag-s-bahn-stuttgart,4-800643-6,#844c00,#ffffff,false
vvs-db-sbs,S60,db-regio-ag-s-bahn-stuttgart,4-800643-60,#8a8d06,#ffffff,false
vvs-db-sbs,S62,db-regio-ag-s-bahn-stuttgart,4-800643-62,#c3792e,#ffffff,false
nah-sh,RE 6,db-regio-schleswig-holstein,,#00975f,#ffffff,FALSCH
nah-sh,RB 61,nordbahn,,#174094,#ffffff,FALSCH
nah-sh,RB 62,db-regio-schleswig-holstein,,#00aeca,#000000,FALSCH
nah-sh,RB 63,nordbahn,,#ffdc00,#000000,FALSCH
nah-sh,RB 64,db-regio-schleswig-holstein,,#c2d0eb,#000000,FALSCH
nah-sh,RB 65,neg,,#dedd00,#000000,FALSCH
nah-sh,RB 66,arriva-dk,,#798e0e,#ffffff,FALSCH
nah-sh,RE 7,db-regio-schleswig-holstein,,#ef7c00,#000000,FALSCH
nah-sh,RE 70,db-regio-schleswig-holstein,,#c30732,#ffffff,FALSCH
nah-sh,RB 71,nordbahn,,#008bd2,#ffffff,FALSCH
nah-sh,RE 72,db-regio-schleswig-holstein,,#adce6d,#000000,FALSCH
nah-sh,RB 73,db-regio-schleswig-holstein,,#008c57,#ffffff,FALSCH
nah-sh,RE 74,db-regio-schleswig-holstein,,#0069b4,#ffffff,FALSCH
nah-sh,RB 75,db-regio-schleswig-holstein,,#ba731a,#ffffff,FALSCH
nah-sh,RB 76,erixx-sh,,#ffdc00,#000000,FALSCH
nah-sh,RE 8,db-regio-schleswig-holstein,,#a3d9f0,#000000,FALSCH
nah-sh,RE 80,db-regio-schleswig-holstein,,#d9338a,#ffffff,FALSCH
nah-sh,RB 81,db-regio-schleswig-holstein,,#798e0e,#ffffff,FALSCH
nah-sh,RB 82,nordbahn,,#9c9c9c,#ffffff,FALSCH
nah-sh,RE 83,erixx-sh,,#2d53a0,#ffffff,FALSCH
nah-sh,RB 84,erixx-sh,,#e4afd2,#000000,FALSCH
nah-sh,RB 85,db-regio-schleswig-holstein,,#fbb902,#000000,FALSCH
nah-sh,X 85,db-regio-schleswig-holstein,,#fbb902,#000000,FALSCH
